name,latitude,longitude,menu,level
김여사봉화국수, 35.88212515055082, 128.60971435661185, 콩국수, 2
읍천리382 경북대점, 35.8973183002674, 128.61072525412663, 쑥라떼, 2
제주곤이칼국수 파티마신안점, 35.88239257093788, 128.62548513287743, 제주 꼬막비빔밥, 2
시골부뚜막 동대구점, 35.88289410890081, 128.62354927146407, 들깨칼국수, 3
매일식당, 35.884808978311185, 128.60410736284229, 청국장, 3
유경식당, 35.87235289435534, 128.59311104227882, 도다리쑥국, 3
읍천리382 경북대점, 35.8973183002674, 128.61072525412663, 미숫가루, 1
옐랑옐랑, 35.89586780431672, 128.61271428404712, 약과쿠키, 1
빙수제이 경북대점, 35.88438197115206, 128.61378245415182, 눈꽃옛날팥빙수, 1
